EmpID,EmpName,EmpSalary
111,Angela Nelson,7051
112,George Driver,5717
113,Barbara Ramsey,6654
114,Daniel Brown,5971
115,Susan Smith,7098
116,Jody Fowler,6195
117,Angie Kennedy,6917
118,Jason Phillips,7620
119,Deborah Gray,6844
1110,William Dahnke,5580
1111,Laura Vannorman,5666
1112,Joseph Beal,6118
1113,Mildred Rosati,6478
1114,Raymond Jennings,6964
1115,Vilma Martin,7675
1116,Jackie Gassoway,7360
1117,Louise Middleton,7184
1118,Robert Streeter,5963
1119,Melissa Martinez,6639
1120,Robert Soto,6846
1121,Emily Montgomery,7163
1122,William Sanmiguel,5932
1123,Jennifer Hernandez,6253
1124,Michael Bolds,7711
1125,Mattie Loque,6762
1126,Paul Martinez,7611
1127,Kendra Carter,6352
1128,Jared Ekstrom,6614
1129,Lisa Williams,5955
1130,Eduardo Mcwhite,7287
1131,Sandra Russell,6673
1132,Horace Runyon,6717
1133,Mary Saldivar,6778
1134,Gerald Tirado,5729
1135,Jocelyn Rodgers,5816
1136,Michael Davidson,7223
1137,Martha Williams,7517
1138,Joe Canby,7504
1139,Ilse Hart,7032
1140,Lloyd Mcinnis,5721
1141,Katy Loveless,6390
1142,Todd Nicholas,7320
1143,Carrie Ellis,6912
1144,Ray Tedrick,7228
1145,Muriel Lofton,6473
1146,Edward Hendrix,6169
1147,Rosanne Cradle,7364
1148,Jan Clark,7766
1149,Catherine Erler,6980
1150,Jose Batey,6778
1151,Irene Wingo,6087
1152,Albert Reyes,6797
1153,Katie Bercier,6118
1154,Charles Caldon,7252
1155,Maisie Shipley,5973
1156,Donald Stacey,6087
1157,Michele Morales,7105
1158,Terry Dancy,7335
1159,Kerry Peterson,6855
1160,Gary Harty,5761
1161,Anne Shockley,6535
1162,Anthony Schultz,5946
1163,Lucia Burden,6735
1164,William Rice,6998
1165,Janice Stanton,6811
1166,Jose Hurd,6426
1167,Josephine Seymour,7704
1168,Alvin Sauer,6498
1169,Regina Means,7641
1170,Sanford Taylor,6961
1171,Mary Baker,7209
1172,Perry Provines,5895
1173,Earlene Shurts,5850
1174,Robert Hall,6875
1175,Ida Lewis,5726
1176,Harry Carr,5602
1177,Georgetta Leary,7197
1178,Anthony Love,6887
1179,Lacey Turner,6128
1180,Jimmy Summer,7008
1181,Lisa Quinn,7508
1182,Steven Addams,6590
1183,Catherine Sanders,6496
1184,Brian Baylor,6071
1185,Tisha Potter,6267
1186,Rickey Pitt,6115
1187,Mary Aguirre,6132
1188,John Jeffries,7074
1189,Linda Sterling,5748
1190,George Keating,5572
1191,Peggy Edell,5982
1192,Ryan Therrien,6957
1193,Carol Buck,7380
1194,John Schultz,7604
1195,Elsie Holmes,6019
1196,Ronnie Preston,5848
1197,Marilyn Mann,6500
1198,Todd Connors,7281
1199,Sharon Wagner,6642
11100,Todd Mcfarland,7066
