EmpID,EmpName,EmpSalary
91,Yolanda Grace,6903
92,Wayne Lewis,7059
93,Lori Oberry,6568
94,Jae Ritz,6343
95,Stephanie Venice,7428
96,James Perkins,5816
97,Katie Birdwell,7302
98,Ronnie Garner,7545
99,Joyce Jones,6409
910,David Munoz,6563
911,Tonya Hairston,5959
912,Richard Larimore,6923
913,Jo Atkins,5568
914,Roger Cline,6637
915,Sonya Golish,6237
916,Edward Peters,7417
917,Shelia Murray,6007
918,Austin Sanders,6303
919,Kristi Forsyth,6148
920,Richard Adams,6234
921,Carma Becker,5601
922,Joe Marsaw,5943
923,Jennifer Church,7352
924,Sergio Pensinger,5993
925,Kathy Lujan,7021
926,Jerry Marco,6690
927,Sherri Elrod,5962
928,James Cox,7472
929,Magdalene Caywood,7253
930,Parker Risenhoover,6176
931,Irma Mclachlan,7567
932,Raul Solomen,6002
933,Judith Bilger,7287
934,Douglas Mchugh,6534
935,Melissa Watkins,6737
936,Jesse Staten,6702
937,Christy Stubbs,7702
938,Grady Cunningham,5601
939,Julia Martinez,7621
940,Donald Brooke,7253
941,Cindy Duncan,5903
942,Michael Scott,5690
943,Elizabeth Darden,7375
944,Joseph Burk,7507
945,Diana Mays,6921
946,Charles Gibson,7278
947,Jeanine Dierks,6813
948,Francisco Carter,7423
949,Shirley Robles,5684
950,Rudolph Mondragon,6207
951,Victoria Tate,6289
952,Kenneth Trainor,6207
953,Kristian Gulke,7724
954,Peter Brown,7533
955,Becky Hyman,6038
956,David Purpura,6459
957,Barbara Stringer,7291
958,Kyle Aldrich,7673
959,Lillian Nieves,7773
960,Gary Cook,5717
961,Pam Borthwick,5813
962,Alexander Holstine,7146
963,Shirley Hampton,7497
964,Alfred Falls,6834
965,Patricia Londner,5641
966,Jorge Smith,7246
967,Sheri Wyatt,7067
968,David Wemmer,6030
969,Nicole Boyles,7494
970,David Aberle,6589
971,Robyn Benson,7620
972,Moshe Briggs,6003
973,Curtis Jones,6513
974,Junior Cockfield,6542
975,Bobbie Watson,6153
976,Darrell Morissette,7302
977,Bernetta Wilson,6798
978,Gregory Draper,5886
979,Carrie Bolin,7019
980,Michael Hartmann,7078
981,Dorothy Knight,6046
982,Joshua Welch,5884
983,Denise Price,7565
984,Joseph Willis,7721
985,Veronica Colony,7427
986,Charlie Mills,6653
987,Tara Smith,5986
988,Joshua Anglen,5710
989,Shelby Forster,7035
990,Jimmie Wysocki,6154
991,Tonya Kowalewski,6765
992,James Johnson,6531
993,Holly Robinson,5968
994,Marcos Phillips,7053
995,Waneta Hazel,5693
996,Max Carr,5838
997,Zena Morrison,7024
998,Shawn Mclaurin,7051
999,Marion Simmons,5653
9100,Douglas Canida,5798
